scenario_id,hazard,start,duration_h,param_landfall_lon,param_max_wind,param_radius_max_wind_km,param_holland_b,param_forward_speed_kmh,param_track_bearing_deg,param_rain_rate_mm_h,param_surge_peak_m,param_landfall_bucket,param_peak_temp_c,param_inland_amplification,param_overnight_min_c,param_humidity,param_days,param_wind_ms,param_centre_lat,param_centre_lon,param_radius_deg,param_rain_total_mm,param_temp_c,param_drought_index,param_rain_mm
HURR-20240531-001,hurricane,2024-05-31,72,-85.41348746046081,61.31875584522676,31.80113925760604,1.155196640659751,31.585090897771828,-4.627891623858167,23.58554347861821,1.2490201358080852,5.0,,,,,,,,,,,,,
HURR-20240225-002,hurricane,2024-02-25,72,-85.4211266949733,32.45495023078589,52.89947692481904,1.1320843261345728,18.083704449475057,-11.85678971415878,6.602366004405441,4.159584985072904,5.0,,,,,,,,,,,,,
HEAT-20240123-003,heatwave,2024-01-23,168,,,,,,,,,,42.532648491224414,2.5636285169053377,28.45712112120345,0.5959904760219307,7.0,3.3951010239996755,,,,,,,
HEAT-20240415-004,heatwave,2024-04-15,96,,,,,,,,,,43.43878540766036,1.6165450327643307,23.125849473826417,0.7162713420532847,4.0,1.210343926734378,,,,,,,
HEAT-20240319-005,heatwave,2024-03-19,168,,,,,,,,,,39.555364909687114,1.6968389499764092,22.9474503725385,0.7427541528615172,7.0,3.244041699727392,,,,,,,
HEAT-20240306-006,heatwave,2024-03-06,168,,,,,,,,,,40.50579140617205,2.497363111790674,25.631565175514112,0.7894128067536981,7.0,1.4145382153025654,,,,,,,
HEAT-20240114-007,heatwave,2024-01-14,168,,,,,,,,,,42.60379629103341,2.8766535702466403,27.919974409845672,0.6622627904988437,7.0,3.4180446075915647,,,,,,,
INLA-20240515-008,inland_flood,2024-05-15,36,,,,,,,,,,,,,,,12.753038091103136,30.754123295786133,-85.36821016247072,0.7679799801484041,257.53049597101625,,,
INLA-20240420-009,inland_flood,2024-04-20,36,,,,,,,,,,,,,,,21.481173255532447,31.78206264121548,-82.24525427114868,0.7406530837209407,108.46112738142064,,,
INLA-20240525-010,inland_flood,2024-05-25,36,,,,,,,,,,,,,,,15.777079191478478,32.44814098475636,-83.0179990334181,0.7030500682190881,362.2239750598255,,,
INLA-20240328-011,inland_flood,2024-03-28,36,,,,,,,,,,,,,,,14.301076098582627,31.536483751286962,-84.96874151089047,0.6626363039381701,377.8065938098432,,,
INLA-20240505-012,inland_flood,2024-05-05,36,,,,,,,,,,,,,,,13.043620939378242,32.14916646294927,-82.49031614382848,0.5333462907479316,255.54154381084518,,,
INLA-20240202-013,inland_flood,2024-02-02,36,,,,,,,,,,,,,,,16.94118205084663,32.2535826044697,-83.30932335400547,0.5523354541500507,225.0996008333368,,,
WILD-20231019-014,wildfire,2023-10-19,48,,,,,,,,,,,,,0.15333536768958891,,17.797131058107276,32.36436767542378,-84.03743446708467,1.1381669017499143,,37.337551572706815,0.7427157883380817,
WILD-20231008-015,wildfire,2023-10-08,48,,,,,,,,,,,,,0.11898528121491067,,18.57200197748474,32.09284238422543,-82.52461627723166,1.2157869940111639,,31.771042776153678,0.6128637956955468,
WILD-20240303-016,wildfire,2024-03-03,48,,,,,,,,,,,,,0.2170453842500012,,14.402044239973085,31.847528178624724,-82.8333611218847,1.288152954684198,,37.332857981028305,0.9086677088027315,
BASE-20240429-017,baseline,2024-04-29,24,,,,,,,,,,,,,,,4.982119203917965,,,,,16.997316926005333,,11.017691273657883
BASE-20240517-018,baseline,2024-05-17,24,,,,,,,,,,,,,,,4.269484671912651,,,,,21.229442089937795,,3.060962004827383
BASE-20240228-019,baseline,2024-02-28,24,,,,,,,,,,,,,,,5.782820015795295,,,,,15.52267950879268,,12.846297656958738
BASE-20240708-020,baseline,2024-07-08,24,,,,,,,,,,,,,,,9.853611703182656,,,,,29.35899717471705,,10.475585818127438
BASE-20230826-021,baseline,2023-08-26,24,,,,,,,,,,,,,,,4.275305763486863,,,,,12.575741247167752,,11.205563274513723
BASE-20240306-022,baseline,2024-03-06,24,,,,,,,,,,,,,,,10.672191399077905,,,,,30.851436672494955,,8.5726256203845
BASE-20231028-023,baseline,2023-10-28,24,,,,,,,,,,,,,,,8.528798043439474,,,,,15.109574083144427,,2.2881993675352326
BASE-20240312-024,baseline,2024-03-12,24,,,,,,,,,,,,,,,10.752938087908747,,,,,21.62343523433513,,13.061458529146616
BASE-20240320-025,baseline,2024-03-20,24,,,,,,,,,,,,,,,9.87820699153543,,,,,19.717262283434195,,7.9896467796176935
BASE-20240711-026,baseline,2024-07-11,24,,,,,,,,,,,,,,,3.73019559477118,,,,,15.96568035911717,,11.41060321294184
BASE-20240428-027,baseline,2024-04-28,24,,,,,,,,,,,,,,,8.831692677672269,,,,,28.38822866478261,,8.365286393063647
BASE-20231025-028,baseline,2023-10-25,24,,,,,,,,,,,,,,,7.953611643323864,,,,,16.106296106903073,,1.3939080068720446
BASE-20240625-029,baseline,2024-06-25,24,,,,,,,,,,,,,,,5.670235212382977,,,,,12.318401071625608,,5.392823479560678
BASE-20231031-030,baseline,2023-10-31,24,,,,,,,,,,,,,,,3.6257153281778787,,,,,26.188323015987116,,9.490360674092786
BASE-20240216-031,baseline,2024-02-16,24,,,,,,,,,,,,,,,4.043085855195908,,,,,29.813396831089896,,12.901271380959408
BASE-20240206-032,baseline,2024-02-06,24,,,,,,,,,,,,,,,9.156055425721657,,,,,16.270148038135357,,1.0289412067497858
BASE-20231104-033,baseline,2023-11-04,24,,,,,,,,,,,,,,,3.2655030547293427,,,,,30.403363402068344,,7.483472414274567
BASE-20231214-034,baseline,2023-12-14,24,,,,,,,,,,,,,,,2.0778515290454704,,,,,14.479683650304976,,5.004210742077278
BASE-20240222-035,baseline,2024-02-22,24,,,,,,,,,,,,,,,3.433426170194938,,,,,18.439598284986875,,5.88532046417213
BASE-20240301-036,baseline,2024-03-01,24,,,,,,,,,,,,,,,6.34677097092952,,,,,27.539242163388458,,7.249939348789842
BASE-20231112-037,baseline,2023-11-12,24,,,,,,,,,,,,,,,3.540170858346274,,,,,31.692885488035554,,4.6199987877724755
BASE-20231021-038,baseline,2023-10-21,24,,,,,,,,,,,,,,,8.397295000792331,,,,,16.104502915288364,,12.19045073216029
BASE-20240330-039,baseline,2024-03-30,24,,,,,,,,,,,,,,,3.533368861878947,,,,,12.26334991719886,,6.778422561427481
